날짜,시가,고가,저가,종가,거래량,등락률
2025-06-02,70800,71400,70600,70800,251758,-0.42194092827004215
2025-06-04,71500,72600,71100,71300,593895,0.7062146892655368
2025-06-05,71600,72800,71600,72400,458239,1.5427769985974753
2025-06-09,73000,73600,72700,72900,452130,0.6906077348066298
2025-06-10,73700,74600,72600,73700,640483,1.0973936899862824
2025-06-11,74000,74600,73400,74600,514323,1.2211668928086838
2025-06-12,76400,76500,74900,75200,897232,0.8042895442359249
2025-06-13,74200,74700,71800,72200,931983,-3.9893617021276597
2025-06-16,71400,72000,70600,72000,394654,-0.2770083102493075
2025-06-17,72200,73500,71800,72200,451460,0.2777777777777778
2025-06-18,71800,74500,71500,73800,559285,2.21606648199446
2025-06-19,74200,74300,72600,73100,388030,-0.9485094850948509
2025-06-20,73300,74000,72800,74000,529685,1.231190150478796
2025-06-23,72800,78500,71500,74700,1370349,0.945945945945946
2025-06-24,76600,77600,75800,76200,1168788,2.0080321285140563
2025-06-25,76800,77000,75000,76100,514310,-0.13123359580052493
2025-06-26,76200,76200,74300,74700,393009,-1.8396846254927726
2025-06-27,74800,75200,73700,74100,434975,-0.8032128514056224
2025-06-30,74300,74800,73700,73800,422420,-0.4048582995951417
